Organization,Email
Covid-19 Finanzierungsagentur des Bundes GmbH,
Marktgemeinde St. Andrä-Wördern,
AMAG service GmbH,philipp.hoelzlwimmer@amg.at
Veterinärmedizinische Universität Wien,mats.schroeder@kwr.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",
TEST Wiener Zeitung,johann.peleska@wienerzeitung.at
Bundeskanzleramt,andreas.heindl@bka.gv.at
ASFINAG,andrea.ginner@asfinag.at
Stadtgemeinde Schwechat,abteilung10@schwechat.gv.at
"Melker Kommunalimmobilienverwaltungs Gesellschaft m.b.H. ",u.reisinger@gmail.com
TEST AG,
Melker Kommunalimmobilienverwaltungs Gesellschaft m.b.H.,u.reisinger@gmail.com
WV Aichfeld Murboden,
ÖBB-Infrastruktur AG,johannes.szankovich@oebb.at
ÖBB-Produktion Gesellschaft mbH,martin.reinwald@pv.oebb.at
ÖBB-Infrastruktur Aktiengesellschaft,astrid.holzhofer-tunner@oebb.at
Brucker Wohnbau- und Siedlungsvereinigung eingetragene gemeinnützige Genossenschaft mit beschränkter Haftung,andreas.doppelhofer@baumeister-kraus.at
"ÖBB Technische Services GmbH ",michael.grasel@oebb.at
ÖBB-Infrastruktur Aktiengesellschaft,christian.satzl@oebb.at
ÖBB-Technische Services - Gesellschaft mbH,thomas.eigner@oebb.at
Marktgemeinde Wilhering,gemeinde@wilhering.at
ÖBB-Technische Services-Gesellschaft mbH,robert.ziegler@pv.oebb.at
Marktgemeinde St. Wolfgang im Salzkammergut,gemeindeamt@st-wolfgang.ooe.gv.at
ÖBB-Technische Services Gesellschaft mbH,robert.ziegler@pv.oebb.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,Leonard.Schuler@oebb.at
Österreichische Post AG,mehmet.esme@post.at
VERBUND AG,stefan.hasenberger@verbund.com
Österreichische Forschungsförderungsgesellschaft mbH,felicitas.zacherl@ffg.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,Michael.Grasel@oebb.at
Marktgemeinde Leobersdorf,
Austro Control GmbH,
Bundesministerium für Finanzen,
"Wiener Zeitung Digitale Publikationen GmbH ",antonia.bittermann@liebenwein.eu
Energy Community,procurement@energy-community.org
ÖBB Infrastruktur AG,manfred.lientschnig@oebb.at
Gemeinde Weiler,
Österreichisches Patentamt,
ÖBB-Infrastruktur AG,Christoph.Ornter@oebb.at
ÖBB-Infrastruktur AG,manfred.lientschnig@oebb.at
VERBUND AG,
ÖBB-Infrastruktur AG,bernhard.weinberg@oebb.at
ÖBB-Infrastruktur AG,robert.schoepf@oebb.at
NÖ Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,herbert.permoser@bawu.at
